0.097136791 127.0.0.1:6633 127.0.0.1:48905 124 0x603d5713 0x603d5713 10 2147483647 44032 4
0.280023674 10.0.0.1:44798 10.0.0.2:5001 32 0x54761298 0x5475da08 11 2147483647 14848 5
0.280196232 10.0.0.1:44798 10.0.0.2:5001 32 0x54762390 0x5475dfb0 12 2147483647 17408 4
0.280279167 10.0.0.1:44798 10.0.0.2:5001 32 0x54762ee0 0x5475e558 13 2147483647 20480 4
0.280358442 10.0.0.1:44798 10.0.0.2:5001 32 0x54763a30 0x5475eb00 14 2147483647 23552 3
0.280435619 10.0.0.1:44798 10.0.0.2:5001 32 0x54764580 0x5475f0a8 15 2147483647 26112 3
0.280480420 10.0.0.1:44798 10.0.0.2:5001 32 0x54764b28 0x5475f650 16 2147483647 29184 3
0.280487529 10.0.0.1:44798 10.0.0.2:5001 32 0x54764b28 0x5475fbf8 17 2147483647 30720 3
0.280498692 10.0.0.1:44798 10.0.0.2:5001 32 0x54764b28 0x547601a0 18 2147483647 29696 2
0.283198171 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.286336141 10.0.0.1:44798 10.0.0.2:5001 32 0x547672c0 0x54760cf0 18 2147483647 27648 2
0.286367463 10.0.0.1:44798 10.0.0.2:5001 32 0x54767e10 0x54761298 19 2147483647 34816 2
0.286378203 10.0.0.1:44798 10.0.0.2:5001 32 0x547683b8 0x54761840 20 2147483647 37888 2
0.286383586 10.0.0.1:44798 10.0.0.2:5001 32 0x547683b8 0x54761de8 21 2147483647 40960 2
0.286388536 10.0.0.1:44798 10.0.0.2:5001 32 0x547683b8 0x54762390 22 2147483647 42496 2
0.286583636 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.287572340 10.0.0.1:44798 10.0.0.2:5001 32 0x5476b0f8 0x54763488 22 2147483647 42496 2
0.287594860 10.0.0.1:44798 10.0.0.2:5001 32 0x5476bc48 0x54763a30 23 2147483647 42496 2
0.288667882 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.288953017 10.0.0.1:44798 10.0.0.2:5001 32 0x5476bc48 0x54763fd8 24 2147483647 42496 2
0.289904919 10.0.0.1:44798 10.0.0.2:5001 32 0x5476bc48 0x54764580 25 24 42496 2
0.290015447 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.292134616 10.0.0.1:44798 10.0.0.2:5001 32 0x5476bc48 0x54764b28 25 24 42496 2
0.292370647 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.295537404 10.0.0.1:44798 10.0.0.2:5001 32 0x5476bc48 0x547650d0 25 24 42496 3
0.295919814 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.296926381 10.0.0.1:44798 10.0.0.2:5001 32 0x5476e988 0x54765c20 25 24 42496 3
0.297218131 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.298414009 10.0.0.1:44798 10.0.0.2:5001 32 0x5476f4d8 0x54766770 25 24 42496 3
0.298597621 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.301842063 10.0.0.1:44798 10.0.0.2:5001 32 0x5476f4d8 0x547672c0 25 24 42496 3
0.302031711 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.304529308 10.0.0.1:44798 10.0.0.2:5001 32 0x5476f4d8 0x54767e10 25 24 42496 3
0.304685241 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.306272075 10.0.0.1:44798 10.0.0.2:5001 32 0x5476f4d8 0x54768960 25 24 42496 3
0.306859128 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.309633995 10.0.0.1:44798 10.0.0.2:5001 32 0x54772218 0x547694b0 25 24 42496 4
0.310062978 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.311160869 10.0.0.1:44798 10.0.0.2:5001 32 0x54772d68 0x5476a000 25 24 42496 4
0.311221549 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
